id,momeducat,age_06,info_06,comp_06,simi_06,voca_06,picc_06,pica_06,bloc_06,obje_06,age_11,info_11,comp_11,simi_11,voca_11,picc_11,pica_11,bloc_11,obje_11
24,0,5.583333333,18.12865497,18.79699248,15.85213033,14.25438597,7.631578947,8.494921514,3.094098884,27.39938081,10.33333333,35.67251462,30.07518797,34.64912281,35.30701754,39.21052632,47.27608495,18.40510367,73.83900929
25,0,6.166666667,15.95238095,17.34693878,14.15816327,13.4375,19.10714286,6.453634085,6.883116883,12.71008403,10.83333333,37.38095238,32.65306122,17.98469388,22.8125,45.89285714,23.37092732,18.57142857,72.58403361
26,1,5.916666667,27.42690059,22.30576441,22.05513785,34.34210526,45.52631579,28.50107726,10.11164274,59.18472652,10.66666667,73.04093567,74.93734336,59.64912281,69.86842105,77.10526316,54.35518621,71.35566188,80.85655315
27,2,5.583333333,29.59064328,31.39097744,20.98997494,28.55263158,42.63157895,22.00677131,7.464114833,41.07327141,10.33333333,64.67836257,65.22556391,58.5839599,56.18421053,74.21052632,75.5617113,53.39712919,75.12899897
28,2,5.833333333,31.42857143,32.78061225,33.54591837,21.33928571,30.17857143,12.03007519,34.22077922,56.82773109,10.5,74.28571429,51.91326531,75.6377551,61.51785714,35.53571429,57.14285714,79.02597403,85.18907563
29,2,5.916666667,20.78787879,25.58441558,14.80519481,25.65909091,50,14.64114833,9.719008265,42.03208556,10.5,68.06060606,60.64935065,45.97402597,65.20454546,50,51.00478469,47.40495868,93.36898396
30,2,5.75,18.59649123,22.7443609,14.28571429,17.36842105,37.10526316,6.186518929,2.105263158,18.11145511,10.5,57.19298246,49.06015038,14.28571429,39.73684211,79.21052632,59.74145891,44.21052632,86.22291022
31,1,5.666666667,30,30.86734694,27.80612245,32.05357143,41.07142857,11.52882206,4.935064935,51.47058824,10.33333333,80,65.30612245,69.89795918,62.85714286,57.14285714,79.19799499,24.41558442,73.52941177
32,1,6.5,25.2631579,29.5112782,22.36842105,24.47368421,19.21052632,29.7322253,6.411483254,8.204334365,11.25,39.29824561,55.82706767,48.68421053,54.73684211,77.10526316,48.19944598,33.20574163,73.21981424
33,0,6.583333333,20,0.892857143,17.41071429,17.96875,16.875,-0.877192982,10,48.16176471,11.25,48.57142857,54.46428571,51.8494898,56.80803571,43.66071429,66.79197995,17.79220779,63.91806723
34,1,5.75,18.24561404,30.07518797,9.022556391,25.13157895,30.78947368,13.29639889,14.44976077,22.13622291,10.5,49.8245614,60.15037594,46.61654135,52.7631579,46.57894737,68.69806094,48.89952153,53.09597523
35,0,6.25,15.0877193,24.81203008,16.91729323,17.03947368,22.63157895,4.986149585,2.870813397,21.51702786,11,46.66666667,28.57142857,35.71428571,26.25,70,45.61403509,18.18181818,61.76470588
36,0,6.25,22.26190476,17.4744898,20.66326531,16.69642857,39.46428571,4.761904762,7.045454546,27.67857143,10.91666667,43.69047619,25.12755102,35.96938776,32.76785714,50.17857143,49.87468672,47.95454546,62.34243698
37,0,5.75,19.12280702,23.68421053,10.33834587,33.42105263,49.73684211,12.65004617,2.583732057,15.01547988,10.5,68.24561404,68.79699248,74.2481203,51.84210526,44.47368421,55.12465374,54.25837321,80.03095975
