MOTHER_ED,EERI,MATH_VERB
16,2,0.49822000000000005
13,3,0.7270699999999999
16,2,0.9753799999999999
16,2,0.99241
16,3,0.8582
13,0,0.19094
16,3,0.57882
13,2,0.35916
16,2,0.85528
10,3,0.17689
12,3,0.37476
12,1,0.35738
13,2,0.61498
12,1,0.13614
16,2,0.85179
10,0,0.44728
10,0,0.16213
14,3,0.68691
14,2,0.43902
16,2,0.55643
12,2,0.27349
13,1,0.91337
14,1,0.37719
12,2,0.9362999999999999
5,1,0.22388000000000002
16,2,0.36484
14,2,0.49107999999999996
12,3,0.53137
12,2,0.57031
12,2,0.40698
14,3,0.34281
16,2,0.94708
14,1,0.43841
8,1,0.01283
10,1,0.20547
14,1,0.38536000000000004
16,3,0.94075
16,2,0.8279099999999999
16,2,0.6489
16,2,0.10257999999999999
16,2,0.75942
16,2,0.76398
14,2,0.1075
20,3,0.82748
12,3,0.96575
14,3,0.9184
12,2,0.33797
12,2,0.80143
16,2,0.8536
14,2,0.9091800000000001
12,1,0.04638
14,2,0.71158
12,2,0.35954
18,3,0.9627
18,3,0.89762
16,3,0.82015
17,3,0.82887
14,2,0.77782
12,3,0.8336
12,3,0.8996500000000001
18,2,0.21847000000000003
12,1,0.57518
14,2,0.86721
10,1,0.02155
12,1,0.18367999999999998
12,2,0.27805
16,2,0.6538299999999999
12,2,0.44917
16,2,0.5307200000000001
3,3,0.26028
9,1,0.09853999999999999
12,2,0.5368200000000001
12,2,0.6272
13,2,0.9678
15,2,0.90594
14,1,0.41081
12,2,0.19945000000000002
12,1,0.0663
12,1,0.17145
12,1,0.80238
13,2,0.50806
12,2,0.80074
16,3,0.67952
12,1,0.36978
16,2,0.88298
10,0,0
12,2,0.19207999999999997
17,1,0.94163
17,3,0.8552599999999999
18,2,0.66282
16,2,0.5540999999999999
16,2,0.6751699999999999
12,3,0.35834000000000005
13,1,0.39945
13,1,0.15947
1,1,0.30911
8,1,0.77205
14,3,0.85077
9,2,0.26606
10,1,0.56232
10,1,0.17107
12,2,0.15402
7,2,0.17620000000000002
7,1,0.25456
11,1,0.76424
15,2,0.10266
12,1,0.79063
12,1,0.41603999999999997
14,3,0.99651
20,2,0.96841
14,2,0.83458
14,3,0.55256
13,3,0.98524
13,3,0.7030500000000001
12,2,0.92452
12,1,0.76866
12,2,0.75126
18,3,0.71146
16,3,1
16,3,0.66664
12,1,0.92661
12,1,0.44904000000000005
12,1,0.36386
10,2,0.28259
13,1,0.44637
12,2,0.35178
12,1,0.06293
12,1,0.69402
12,1,0.48976
18,2,0.39558
12,1,0.50505
12,1,0.6910299999999999
16,2,0.99676
13,1,0.21699000000000002
14,2,0.6313
14,2,0.43561999999999995
12,1,0.42428
15,3,0.8738800000000001
20,3,0.6835
14,2,0.43565
12,2,0.35
12,3,0.2211
12,3,0.26548
11,2,0.23921
12,2,0.38132
12,2,0.91656
16,2,0.37396
12,2,0.37454
12,1,0.20507
12,1,0.1543
12,2,0.69098
16,3,0.21666
12,2,0.70807
12,3,0.12337
12,3,0.71937
12,1,0.52481
12,3,0.90412
13,1,0.23523
13,1,0.84573
12,2,0.36662999999999996
11,1,0.32309
10,1,0.27227
12,0,0.32467
12,1,0.02452
12,1,0.53969
12,2,0.46657
16,2,0.9623
12,2,0.9329500000000001
16,2,0.8893099999999999
16,2,0.53753
14,3,0.49136
16,2,0.9292100000000001
12,2,0.76008
12,2,0.96462
12,2,0.5489999999999999
12,2,0.26496
14,2,0.71417
12,2,0.8161799999999999
18,2,0.86791
10,1,0.58241
12,2,0.7552500000000001
12,2,0.14912
12,1,0.7077100000000001
12,1,0.54543
12,1,0.39305
15,1,0.9472
12,2,0.91837
12,3,0.47055
18,3,0.96832
13,2,0.7012900000000001
13,2,0.32536000000000004
15,3,0.8640000000000001
12,2,0.41987
11,1,0.29546
9,1,0.13051000000000001
12,2,0.73746
13,1,0.76595
13,1,0.74554
12,1,0.6235499999999999
12,3,0.84294
14,2,0.78872
14,2,0.59939
12,3,0.9744499999999999
12,2,0.63621
12,1,0.79727
12,2,0.21349
12,2,0.48308999999999996
12,3,0.92368
14,2,0.97197
10,1,0.33975
12,1,0.80262
12,2,0.53705
16,2,0.74898
12,2,0.79806
12,2,0.31842
18,2,0.5015999999999999
20,3,0.66086
16,3,0.78656
12,3,0.6985800000000001
16,2,0.9115300000000001
12,2,0.46703000000000006
16,3,0.71858
12,2,0.43085
10,2,0.28718
12,2,0.58553
14,1,0.72559
18,3,0.97527
17,2,0.7109099999999999
14,3,0.47771
12,1,0.026690000000000002
17,2,0.87654
14,2,0.24519
12,2,0.47848
12,1,0.33425
13,2,0.58065
12,1,0.90532
17,2,0.47398
16,1,0.97655
